participant_id,competition_id,total_submissions,active_days,submissions_per_day,submission_avg_initial_days,avg_submissions_mid,submissions_end,median_score,top_score,lowest_score,gap_median_top,gap_lowest_top,peak_submissions_per_day,top_score_on_peak_day,peak_submissions_per_hour,top_score_on_peak_hour,claude_min_score,user_min_score_diff,above_below_claude_min,score_time_corr,time_to_best_score_hours,quiz_participation,final_rank,rank_to_submissions,rank_to_quiz_participation,description_rate,cheated
1,1,22,10,2.2,2.3333333333333335,3.0,2,1.4223908639950638,0.6434732774375994,2.4951916815759945,0.7789175865574643,1.8517184041383952,4,0.963454247578043,2,0.963454247578043,0.6612360539292966,-0.01776277649169722,1,-0.7646671652043838,217.22722949756042,9,16,0.7272727272727273,1.6,0.909,0
2,1,10,7,1.4285714285714286,1.0,0.6666666666666666,0,1.44071812888575,0.571049131082389,2.3882786600257417,0.869668997803361,1.8172295289433529,2,2.233245583220462,1,2.3882786600257417,0.6612360539292966,-0.09018692284690766,1,-0.9742839226730577,193.2508509955288,6,12,1.2,1.7142857142857142,0.7,1
3,1,17,8,2.125,2.3333333333333335,1.0,0,1.522377738800544,0.5855477743685878,2.4163660589722737,0.9368299644319561,1.8308182846036858,3,1.742120188161587,2,0.5855477743685878,0.6612360539292966,-0.07568827956070878,1,-0.9764841508327584,181.69890453632524,6,13,0.7647058823529411,1.8571428571428572,0.824,0
4,1,16,8,2.0,1.3333333333333333,1.3333333333333333,4,1.35862886443838,0.6199370032466684,2.3843416157301163,0.7386918611917115,1.7644046124834478,4,0.6199370032466684,2,2.1188346574413717,0.6612360539292966,-0.04129905068262818,1,-0.7846781106938034,202.16185559895249,6,14,0.875,2.0,0.812,0
5,1,33,8,4.125,2.0,3.6666666666666665,4,1.331860767663097,0.551352035700302,2.4337303311679745,0.7805087319627949,1.8823782954676727,6,2.029004208548316,2,2.029004208548316,0.6612360539292966,-0.10988401822899463,1,-0.7861839854776077,204.7749222796854,8,10,0.30303030303030304,1.1111111111111112,0.939,0
6,1,29,10,2.9,3.3333333333333335,3.0,3,0.48888334196469163,0.3920505250194067,1.3480982457398851,0.09683281694528495,0.9560477207204785,4,0.9942449494603441,1,1.3031339217183102,0.6612360539292966,-0.26918552890988995,1,-0.7998331075081402,221.52793090594193,9,3,0.10344827586206896,0.3,0.759,0
7,1,15,7,2.142857142857143,0.6666666666666666,2.3333333333333335,3,0.7590361528898075,0.4860021539813871,2.4504931456564205,0.27303399890842045,1.9644909916750335,3,0.9056959231823262,2,1.1010951743584578,0.6612360539292966,-0.17523389994790955,1,-0.6837197373403482,166.24112301803672,9,8,0.5333333333333333,0.8,0.733,0
8,1,6,3,2.0,0.0,1.3333333333333333,0,1.6642181955631332,1.0975763186385548,2.277350949172063,0.5666418769245785,1.1797746305335082,2,2.237989547795868,1,2.277350949172063,0.6612360539292966,0.43634026470925813,0,-0.9612604382752883,69.50233887107946,9,21,3.5,2.1,1.0,0
9,1,19,7,2.7142857142857144,1.0,3.0,3,0.8187219711233437,0.6345221685092568,2.464513728110493,0.18419980261408686,1.8299915596012362,6,0.8187219711233437,1,0.9139641135529215,0.6612360539292966,-0.02671388542003983,1,-0.6081282448890929,131.31698091512078,8,15,0.7894736842105263,1.6666666666666667,1.0,0
10,1,32,10,3.2,3.0,3.3333333333333335,3,0.456425069203744,0.38327254560600105,1.3834757084629268,0.07315252359774294,1.0002031628569257,4,0.4069438346838686,2,0.3959935558848492,0.6612360539292966,-0.2779635083232956,1,-0.7882936072394785,222.600061537105,8,1,0.03125,0.1111111111111111,0.969,0
11,1,29,10,2.9,1.3333333333333333,2.6666666666666665,10,0.9533184241958198,0.7074599615121859,2.437771271194696,0.24585846268363387,1.7303113096825102,10,0.7074599615121859,2,0.7737886000742797,0.6612360539292966,0.0462239075828893,0,-0.7812417565206112,224.0962162141405,7,18,0.6206896551724138,2.25,0.966,0
12,1,57,9,6.333333333333333,2.3333333333333335,7.0,8,0.9110147043587812,0.5396244605561419,1.4488703881176317,0.3713902438026393,0.9092459275614898,10,0.9412744757910602,2,1.3067288492359543,0.6612360539292966,-0.12161159337315475,1,-0.6431758513115733,196.95586175448918,7,9,0.15789473684210525,1.125,0.877,0
13,1,30,9,3.3333333333333335,1.3333333333333333,3.3333333333333335,1,1.2466944151242012,0.3934524044220943,2.535800284579862,0.8532420107021069,2.1423478801577676,6,0.40770357384841527,2,2.0839836386776556,0.6612360539292966,-0.26778364950720235,1,-0.5532759729923287,198.36130772010463,7,4,0.13333333333333333,0.5,0.8,0
14,1,23,8,2.875,3.0,3.3333333333333335,3,1.6714312104776499,0.9109093958346122,2.3606146700095634,0.7605218146430377,1.4497052741749512,5,2.0868151471593657,1,2.335579822563462,0.6612360539292966,0.24967334190531554,0,-0.959786801033202,223.99495078641965,4,19,0.8260869565217391,3.8,0.739,0
15,1,6,3,2.0,0.0,0.0,2,0.5809402612321601,0.4503542068361006,0.6946827217520628,0.13058605439605953,0.2443285149159622,3,0.5392210049712806,1,0.6946827217520628,0.6612360539292966,-0.21088184709319602,1,-0.9597343961997136,29.076442014336692,0,6,1.0,6.0,0.5,1
16,1,30,7,4.285714285714286,0.6666666666666666,2.6666666666666665,5,1.4126343626164328,0.3836768625424742,2.4957999293687965,1.0289575000739586,2.1121230668263222,6,2.2411909696134225,2,2.176086400360566,0.6612360539292966,-0.27755919138682245,1,-0.75159528033887,178.419580199988,6,2,0.06666666666666667,0.2857142857142857,0.967,0
17,1,46,10,4.6,3.3333333333333335,5.333333333333333,4,0.7162306368288607,0.4641839891181425,2.4674670171435844,0.25204664771071816,2.003283028025442,9,0.6845885264323777,3,0.5545009328450243,0.6612360539292966,-0.19705206481115412,1,-0.6972647989138466,213.2679919306307,8,7,0.15217391304347827,0.7777777777777778,0.848,0
18,1,7,1,7.0,0.0,0.0,7,0.5503456451699046,0.4225702429638866,0.6676234744118255,0.12777540220601796,0.24505323144793884,7,0.4225702429638866,4,0.4225702429638866,0.6612360539292966,-0.23866581096541,1,-0.9321275143374028,1.1889997930588834,1,5,0.7142857142857143,2.5,0.714,1
19,1,20,7,2.857142857142857,1.0,3.0,4,1.0048382569276353,0.5678127546628117,2.4108478401116233,0.4370255022648236,1.8430350854488116,7,1.033043532483968,1,2.4108478401116233,0.6612360539292966,-0.09342329926648496,1,-0.8359469534141525,193.09732387344903,6,11,0.55,1.5714285714285714,0.95,0
20,1,24,7,3.4285714285714284,1.0,3.0,0,1.6179026452598435,0.6643941932600639,2.533248254416864,0.9535084519997796,1.8688540611568,7,0.6643941932600639,2,2.1893015505783633,0.6612360539292966,0.003158139330767251,0,-0.6454624583575763,164.24215483314117,8,17,0.7083333333333334,1.8888888888888888,0.917,0
