participant_id,competition_id,total_submissions,active_days,submissions_per_day,submission_avg_initial_days,avg_submissions_mid,submissions_end,median_score,top_score,lowest_score,gap_median_top,gap_lowest_top,peak_submissions_per_day,top_score_on_peak_day,peak_submissions_per_hour,top_score_on_peak_hour,claude_min_score,user_min_score_diff,above_below_claude_min,score_time_corr,time_to_best_score_hours,submissions_pre_jump,submissions_post_jump,leap_size,post_jump_score_repetition,quiz_participation,final_rank,rank_to_submissions,rank_to_quiz_participation,description_rate,archetype
1,1,4,3,1.3333333333333333,0.0,0.3333333333333333,0,1.7461062719573082,0.8160717310179494,2.261419182808995,0.9300345409393588,1.4453474517910458,2,0.8160717310179494,1,1.249217098325969,0.5959407008493431,0.22013103016860625,0,-0.011545690733428123,54.451199071628224,3,1,1.426923714570698,0.0,5,15,3.75,2.5,0.5,hardworker
2,1,21,8,2.625,1.3333333333333333,2.0,2,1.3970388882778688,0.5054438356394036,2.3164543491390304,0.8915950526384652,1.8110105134996268,5,1.4573988101050688,2,1.4573988101050688,0.5959407008493431,-0.09049686520993949,1,-0.9797066204671752,206.6668328482805,15,6,0.3179832726878957,0.5907105885834046,5,7,0.3333333333333333,1.1666666666666667,0.762,benchmark_tweaker
3,1,26,8,3.25,0.3333333333333333,3.3333333333333335,9,1.148055071189114,0.650068353431662,2.475497720428001,0.49798671775745196,1.825429366996339,9,0.650068353431662,2,0.897826141093734,0.5959407008493431,0.054127652582318886,0,-0.8598655525200342,184.34391514275708,4,22,1.3084044156878376,0.0,6,13,0.5,1.8571428571428572,0.808,hardworker
4,1,12,6,2.0,1.3333333333333333,1.3333333333333333,0,1.2188254254562108,1.0055714981763932,2.4178173545599195,0.2132539272798175,1.4122458563835263,3,1.0055714981763932,1,2.352629487154413,0.5959407008493431,0.4096307973270501,0,-0.7422320667672795,139.21242329907454,1,11,0.7605675348948706,0.0,6,18,1.5,2.5714285714285716,0.833,hardworker
5,1,29,10,2.9,2.6666666666666665,3.6666666666666665,4,0.4942762458107751,0.3510928419455024,1.2666852000295157,0.14318340386527273,0.9155923580840133,4,0.5493513314806081,2,0.6091378537071089,0.5959407008493431,-0.24484785890384075,1,-0.8279123685948356,227.07701306582067,3,26,0.2705332139099841,0.0,8,2,0.06896551724137931,0.2222222222222222,0.828,daily_sprinter
6,1,14,7,2.0,1.3333333333333333,1.6666666666666667,2,1.4160074172217878,0.5423169123521195,2.2934114658623397,0.8736905048696683,1.75109455351022,3,2.0874574082795068,1,2.2934114658623397,0.5959407008493431,-0.0536237884972236,1,-0.9791158796955264,227.79819510902544,3,11,0.3123304680779364,0.0,6,10,0.7142857142857143,1.4285714285714286,0.429,benchmark_tweaker
7,1,13,4,3.25,3.0,0.6666666666666666,0,2.0428609123224417,0.8713800411716153,2.3144616623868917,1.1714808711508264,1.4430816212152764,5,2.0428609123224417,3,0.8713800411716153,0.5959407008493431,0.27543934032227213,0,-0.006272155411189084,3.613433679652033,2,11,1.4121583303159357,0.45800979990941126,10,16,1.2307692307692308,1.4545454545454546,0.769,consistent_late_breakthrough
8,1,24,9,2.6666666666666665,1.6666666666666667,3.6666666666666665,2,1.473611549410236,0.5283999061814246,2.4390074855539843,0.9452116432288113,1.9106075793725597,6,1.3653758039161252,2,1.5435688251077389,0.5959407008493431,-0.06754079466791851,1,-0.971166790118041,204.62574428326212,5,19,0.3347654227748993,0.0,6,9,0.375,1.2857142857142858,0.75,benchmark_tweaker
9,1,29,10,2.9,3.6666666666666665,2.3333333333333335,3,0.5815900224812818,0.4946601199528175,0.8569844354417383,0.08692990252846428,0.3623243154889208,4,0.7312268246506298,2,0.5413967500562713,0.5959407008493431,-0.10128058089652564,1,-0.7887713925488655,157.0744633653464,11,18,0.19541911622913122,0.4735978313939092,7,6,0.20689655172413793,0.75,0.862,daily_sprinter
10,1,5,2,2.5,1.6666666666666667,0.0,0,1.5811128380215327,1.520591388665604,1.6510749765322457,0.060521449355928736,0.13048358786664171,3,1.520591388665604,1,1.6510749765322457,0.5959407008493431,0.9246506878162608,0,-0.11633429940788134,2.72123655633024,2,3,0.06765717089289924,0.34062522901590264,4,19,3.8,3.8,0.6,low_interest_quitter
